Time (s),Cart Position (m),Cart Velocity (m/s),Pole Angle (rad),Pole Angular Velocity (rad/s),Control Input (N),Q0,Q1,Q2,Q3,R
1740036673.8021,-0.0088,0.0258,0.0103,-0.0510,0.6314,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.8121,-0.0085,0.0296,0.0097,-0.0549,0.3686,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.8220,-0.0081,0.0419,0.0091,-0.0718,-0.3646,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.8321,-0.0078,0.0373,0.0085,-0.0636,-0.2089,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.8420,-0.0074,0.0506,0.0078,-0.0819,-1.0215,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.8523,-0.0069,0.0401,0.0071,-0.0648,-0.5825,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.8621,-0.0065,0.0588,0.0065,-0.0918,-1.6959,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.8725,-0.0061,0.0443,0.0058,-0.0690,-1.0568,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.8821,-0.0059,0.0386,0.0054,-0.0599,-0.8054,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.8921,-0.0055,0.0280,0.0048,-0.0429,-0.3427,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.9021,-0.0052,0.0503,0.0044,-0.0756,-1.6126,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.9120,-0.0046,0.0493,0.0036,-0.0732,-1.7383,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.9221,-0.0041,0.0569,0.0029,-0.0839,-2.2980,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.9321,-0.0037,0.0385,0.0022,-0.0557,-1.4454,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.9421,-0.0034,0.0419,0.0018,-0.0605,-1.7349,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.9521,-0.0030,0.0350,0.0012,-0.0497,-1.5065,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.9621,-0.0027,0.0352,0.0007,-0.0497,-1.6129,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.9721,-0.0023,0.0278,0.0003,-0.0383,-1.3320,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.9821,-0.0021,0.0295,-0.0000,-0.0408,-1.5013,11.1111,0.2500,25.0000,0.2500,0.0044
1740036673.9921,-0.0018,0.0232,-0.0004,-0.0312,-1.2668,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.0020,-0.0016,0.0147,-0.0007,-0.0184,-0.8708,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.0121,-0.0015,0.0073,-0.0008,-0.0075,-0.5122,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.0220,-0.0015,0.0010,-0.0008,0.0019,-0.1885,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.0321,-0.0015,-0.0005,-0.0008,0.0040,-0.1079,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.0420,-0.0015,-0.0027,-0.0008,0.0073,0.0204,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.0521,-0.0015,-0.0032,-0.0007,0.0078,0.0601,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.0620,-0.0015,0.0008,-0.0006,0.0017,-0.1420,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.0720,-0.0015,0.0016,-0.0006,0.0004,-0.1892,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.0821,-0.0015,0.0042,-0.0006,-0.0036,-0.3308,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.0921,-0.0014,0.0054,-0.0007,-0.0055,-0.4190,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.1021,-0.0014,0.0196,-0.0007,-0.0268,-1.2020,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.1121,-0.0012,0.0095,-0.0009,-0.0117,-0.7106,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.1221,-0.0012,0.0162,-0.0010,-0.0219,-1.1046,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.1321,-0.0011,0.0070,-0.0012,-0.0082,-0.6539,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.1421,-0.0010,0.0157,-0.0012,-0.0214,-1.1482,11.1111,0.2500,25.0000,0.2500,0.0044
